Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",2,4.19,Flatiron Books,Hardcover,368,2017,2017,2019/08/05,2019/04/19,,,read,,,,1,,,0,,,,,
526132,Stigmata: Escaping Texts,Hélène Cixous,"Cixous, Hélène",,"=""0415179793""","=""9780415179799""",3,4.33,Routledge,Paperback,208,1998,1998,2019/07/05,2018/10/06,,,read,,,,1,,,0,,,,,
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",3,3.82,Dante University of America Press,Paperback,140,2003,1532,2019/06/16,2019/06/16,,,read,,,,2,,,0,,,,,
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",4,4.19,Bantam Books,Paperback,212,1998,1988,2019/06/03,2017/12/31,,,read,,,,1,,,0,,,,,
23419,The Consolations of Philosophy,Alain de Botton,"Botton, Alain de",,"=""""","=""""",3,4.01,Vintage,Paperback,265,2001,2000,,2018/10/07,,,read,,,,1,,,0,,,,,
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""0753453800""","=""9780753453803""",4,3.84,Kingfisher,Hardcover,311,2001,1883,2019/06/03,2019/03/02,,,read,,,,1,,,0,,,,,
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",4,4.05,Bantam Books,Mass Market Paperback,152,1981,1922,,2018/02/21,,,read,,,,1,,,0,,,,,
37503118,The Road to React,Robin Wieruch,"Wieruch, Robin",,"=""""","=""""",4,4.23,,Kindle Edition,234,2017,,2019/04/28,2018/09/01,,,read,,,,1,,,0,,,,,
35397160,Finish: Give Yourself the Gift of Done,Jon Acuff,"Acuff, Jon",,"=""""","=""""",3,4.11,Portfolio,Kindle Edition,206,2017,2017,2019/04/23,2019/04/23,,,read,,,,1,,,0,,,,,
25520974,"Articulating Design Decisions: Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",Tom Greever,"Greever, Tom",,"=""1491921560""","=""9781491921562""",3,4.11,O'Reilly Media,Paperback,259,2015,2015,2019/04/22,2019/04/12,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",3,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2019/04/12,2018/06/23,,,read,,,,1,,,0,,,,,
20168816,Rogues,George R.R. Martin,"Martin, George R.R.","Gardner Dozois, Joe Abercrombie, Gillian Flynn, Matthew Hughes, Joe R. Lansdale, Michael Swanwick, David  Ball, Carrie Vaughn, Scott Lynch, Bradley Denton, Cherie Priest, Daniel Abraham, Paul Cornell, Steven Saylor, Garth Nix, Walter Jon Williams, Phyllis Eisenstein, Lisa Tuttle, Neil Gaiman, Connie Willis, Patrick Rothfuss","=""0345537262""","=""9780345537263""",4,3.89,Bantam Books,Hardcover,806,2014,2014,,2017/12/31,,,read,,,,1,,,0,,,,,
11672159,The Dark Wife,Sarah Diemer,"Diemer, Sarah",,"=""1461179939""","=""9781461179931""",3,3.83,Createspace Independent Publishing Platform,Paperback,264,2011,2011,2019/03/28,2019/03/25,,,read,,,,1,,,0,,,,,
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis","Antoni Marianowicz, Παυλίνα Παμπούδη","=""""","=""""",4,3.99,Public Domain Books,Kindle Edition,96,1997,1865,,2019/03/07,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre","David Case, Robin Buss","=""0140449264""","=""9780140449266""",0,4.27,Penguin Classics,Paperback,1276,2003,1844,,2019/03/07,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,"=""0553214322""","=""9780553214321""",4,3.73,Bantam Classics,Paperback,153,1999,1896,,2019/03/01,,,read,,,,1,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Albert Wittstock, عادل مصطفى, Simone Mooij-Valk, Diskin Clay","=""0140449337""","=""9780140449334""",4,4.23,Penguin Books,Paperback,303,2006,180,2019/02/11,2019/01/31,,,read,,,,1,,,0,,,,,
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",4,3.98,Simon & Schuster,Kindle Edition,194,2011,1953,,2019/02/06,,,read,,,,1,,,0,,,,,
1045017,The Discourses,Epictetus,"Epictetus, Epictetus",,"=""0460873121""","=""9780460873123""",4,4.25,Everyman ,Paperback,384,1995,108,,2019/01/31,,,read,,,,1,,,0,,,,,
60211,"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,"Wolfe, Gene",,"=""0671540661""","=""9780671540661""",0,3.81,Pocket Books,Paperback,262,1984,1980,,2019/01/15,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
